id_hal,Translation_id,line_id,source,translation,postedition,translation_tokenized,translation_word_offset,postedition_tokenized,postedition_word_offset
3,3,1,"Using data and artificial intelligence to try and boost revenues is part of HSBC's broader push to squeeze more out of its large physical network and client data, a key priority for interim Chief Executive Noel Quinn.","Využití dat a umělé inteligence k vyzkoušení a zvýšení výnosů je součástí širšího tlaku HSBC na vytlačení více z jeho rozsáhlé fyzické sítě a klientských dat, což je klíčová priorita dočasného generálního ředitele Noela Quinna.","Využití dat a umělé inteligence ke zvýšení výnosů je součástí širšího tlaku na HSBC, aby vytěžila více ze své rozsáhlé fyzické sítě klientů a klientských dat, což je klíčovou prioritou dočasného generálního ředitele banky Noela Quinna.","['Využití', 'dat', 'a', 'umělé', 'inteligence', 'k', 'vyzkoušení', 'a', 'zvýšení', 'výnosů', 'je', 'součástí', 'širšího', 'tlaku', 'HSBC', 'na', 'vytlačení', 'více', 'z', 'jeho', 'rozsáhlé', 'fyzické', 'sítě', 'a', 'klientských', 'dat,', 'což', 'je', 'klíčová', 'priorita', 'dočasného', 'generálního', 'ředitele', 'Noela', 'Quinna.']","[(0, 7), (7, 11), (11, 13), (13, 19), (19, 31), (31, 33), (33, 44), (44, 46), (46, 54), (54, 61), (61, 64), (64, 73), (73, 81), (81, 87), (87, 92), (92, 95), (95, 105), (105, 110), (110, 112), (112, 117), (117, 126), (126, 134), (134, 139), (139, 141), (141, 153), (153, 158), (158, 162), (162, 165), (165, 173), (173, 182), (182, 192), (192, 204), (204, 213), (213, 219), (219, 227)]","['Využití', 'dat', 'a', 'umělé', 'inteligence', 'ke', 'zvýšení', 'výnosů', 'je', 'součástí', 'širšího', 'tlaku', 'na', 'HSBC,', 'aby', 'vytěžila', 'více', 'ze', 'své', 'rozsáhlé', 'fyzické', 'sítě', 'klientů', 'a', 'klientských', 'dat,', 'což', 'je', 'klíčovou', 'prioritou', 'dočasného', 'generálního', 'ředitele', 'banky', 'Noela', 'Quinna.']","[(0, 7), (7, 11), (11, 13), (13, 19), (19, 31), (31, 34), (34, 42), (42, 49), (49, 52), (52, 61), (61, 69), (69, 75), (75, 78), (78, 84), (84, 88), (88, 97), (97, 102), (102, 105), (105, 109), (109, 118), (118, 126), (126, 131), (131, 139), (139, 141), (141, 153), (153, 158), (158, 162), (162, 165), (165, 174), (174, 184), (184, 194), (194, 206), (206, 215), (215, 221), (221, 227), (227, 235)]"
3,3,2,"""It's one of the first commercial uses of investment in financial crime prevention, and the business we're getting in this way is inherently lower risk and quicker to win,"" said Stuart Nivison, HSBC's global head of client network banking.","„Je to jedno z prvních komerčních investic do prevence finanční kriminality a podnikání, které tímto způsobem získáváme, je ze své podstaty nižší riziko a rychlejší vítězství,“ řekl Stuart Nivison, globální vedoucí klientského bankovnictví společnosti HSBC.","„Je to jedna z prvních komerčních investic do prevence finanční kriminality a podnikání, které tímto způsobem získáváme, představuje ve své podstatě nižší riziko a rychlejší šanci na vítězství,“ řekl Stuart Nivison, vedoucí klientské sítě bankovnictví HSBC.","['„Je', 'to', 'jedno', 'z', 'prvních', 'komerčních', 'investic', 'do', 'prevence', 'finanční', 'kriminality', 'a', 'podnikání,', 'které', 'tímto', 'způsobem', 'získáváme,', 'je', 'ze', 'své', 'podstaty', 'nižší', 'riziko', 'a', 'rychlejší', 'vítězství,“', 'řekl', 'Stuart', 'Nivison,', 'globální', 'vedoucí', 'klientského', 'bankovnictví', 'společnosti', 'HSBC.']","[(0, 3), (3, 6), (6, 12), (12, 14), (14, 22), (22, 33), (33, 42), (42, 45), (45, 54), (54, 63), (63, 75), (75, 77), (77, 88), (88, 94), (94, 100), (100, 109), (109, 120), (120, 123), (123, 126), (126, 130), (130, 139), (139, 145), (145, 152), (152, 154), (154, 164), (164, 176), (176, 181), (181, 188), (188, 197), (197, 206), (206, 214), (214, 226), (226, 239), (239, 251), (251, 257)]","['„Je', 'to', 'jedna', 'z', 'prvních', 'komerčních', 'investic', 'do', 'prevence', 'finanční', 'kriminality', 'a', 'podnikání,', 'které', 'tímto', 'způsobem', 'získáváme,', 'představuje', 've', 'své', 'podstatě', 'nižší', 'riziko', 'a', 'rychlejší', 'šanci', 'na', 'vítězství,“', 'řekl', 'Stuart', 'Nivison,', 'vedoucí', 'klientské', 'sítě', 'bankovnictví', 'HSBC.']","[(0, 3), (3, 6), (6, 12), (12, 14), (14, 22), (22, 33), (33, 42), (42, 45), (45, 54), (54, 63), (63, 75), (75, 77), (77, 88), (88, 94), (94, 100), (100, 109), (109, 120), (120, 132), (132, 135), (135, 139), (139, 148), (148, 154), (154, 161), (161, 163), (163, 173), (173, 179), (179, 182), (182, 194), (194, 199), (199, 206), (206, 215), (215, 223), (223, 233), (233, 238), (238, 251), (251, 257)]"
3,3,3,"HSBC declined to comment on how much it expects to make from the new system but said the broader ""network income"" initiative has already yielded hundreds of millions of dollars in additional revenue.","HSBC se odmítla vyjádřit k tomu, co očekává od nového systému, ale uvedla, že širší iniciativa „síťový příjem“ již přinesla další příjmy stovky milionů dolarů.","HSBC se odmítla vyjádřit k tomu, co očekává od nového systému, ale řekla, že širší využití „síťového příjmu“ již přineslo další příjmy ve výši stovek milionů dolarů.","['HSBC', 'se', 'odmítla', 'vyjádřit', 'k', 'tomu,', 'co', 'očekává', 'od', 'nového', 'systému,', 'ale', 'uvedla,', 'že', 'širší', 'iniciativa', '„síťový', 'příjem“', 'již', 'přinesla', 'další', 'příjmy', 'stovky', 'milionů', 'dolarů.']","[(0, 4), (4, 7), (7, 15), (15, 24), (24, 26), (26, 32), (32, 35), (35, 43), (43, 46), (46, 53), (53, 62), (62, 66), (66, 74), (74, 77), (77, 83), (83, 94), (94, 102), (102, 110), (110, 114), (114, 123), (123, 129), (129, 136), (136, 143), (143, 151), (151, 159)]","['HSBC', 'se', 'odmítla', 'vyjádřit', 'k', 'tomu,', 'co', 'očekává', 'od', 'nového', 'systému,', 'ale', 'řekla,', 'že', 'širší', 'využití', '„síťového', 'příjmu“', 'již', 'přineslo', 'další', 'příjmy', 've', 'výši', 'stovek', 'milionů', 'dolarů.']","[(0, 4), (4, 7), (7, 15), (15, 24), (24, 26), (26, 32), (32, 35), (35, 43), (43, 46), (46, 53), (53, 62), (62, 66), (66, 73), (73, 76), (76, 82), (82, 90), (90, 100), (100, 108), (108, 112), (112, 121), (121, 127), (127, 134), (134, 137), (137, 142), (142, 149), (149, 157), (157, 165)]"
3,3,4,The drive is an important part of the bank's efforts to defend its global presence at a time when some analysts and investors are saying it should shrink or exit markets like the United States where it makes returns below its cost of capital.,"Pohon je důležitou součástí úsilí banky bránit svou globální přítomnost v době, kdy někteří analytici a investoři říkají, že by měla zmenšovat nebo opouštět trhy, jako jsou Spojené státy, kde dosahuje návratnosti pod náklady na kapitál.","Kampaň je důležitou součástí úsilí banky obhájit své globální postavení v době, ve které někteří analytici a investoři říkají, že by měla zmenšovat nebo opouštět trhy, jako jsou Spojené státy, na kterých dosahuje nižší návratnosti, než jsou náklady na kapitál.","['Pohon', 'je', 'důležitou', 'součástí', 'úsilí', 'banky', 'bránit', 'svou', 'globální', 'přítomnost', 'v', 'době,', 'kdy', 'někteří', 'analytici', 'a', 'investoři', 'říkají,', 'že', 'by', 'měla', 'zmenšovat', 'nebo', 'opouštět', 'trhy,', 'jako', 'jsou', 'Spojené', 'státy,', 'kde', 'dosahuje', 'návratnosti', 'pod', 'náklady', 'na', 'kapitál.']","[(0, 5), (5, 8), (8, 18), (18, 27), (27, 33), (33, 39), (39, 46), (46, 51), (51, 60), (60, 71), (71, 73), (73, 79), (79, 83), (83, 91), (91, 101), (101, 103), (103, 113), (113, 121), (121, 124), (124, 127), (127, 132), (132, 142), (142, 147), (147, 156), (156, 162), (162, 167), (167, 172), (172, 180), (180, 187), (187, 191), (191, 200), (200, 212), (212, 216), (216, 224), (224, 227), (227, 236)]","['Kampaň', 'je', 'důležitou', 'součástí', 'úsilí', 'banky', 'obhájit', 'své', 'globální', 'postavení', 'v', 'době,', 've', 'které', 'někteří', 'analytici', 'a', 'investoři', 'říkají,', 'že', 'by', 'měla', 'zmenšovat', 'nebo', 'opouštět', 'trhy,', 'jako', 'jsou', 'Spojené', 'státy,', 'na', 'kterých', 'dosahuje', 'nižší', 'návratnosti,', 'než', 'jsou', 'náklady', 'na', 'kapitál.']","[(0, 6), (6, 9), (9, 19), (19, 28), (28, 34), (34, 40), (40, 48), (48, 52), (52, 61), (61, 71), (71, 73), (73, 79), (79, 82), (82, 88), (88, 96), (96, 106), (106, 108), (108, 118), (118, 126), (126, 129), (129, 132), (132, 137), (137, 147), (147, 152), (152, 161), (161, 167), (167, 172), (172, 177), (177, 185), (185, 192), (192, 195), (195, 203), (203, 212), (212, 218), (218, 231), (231, 235), (235, 240), (240, 248), (248, 251), (251, 260)]"
3,3,5,HSBC was forced to invest hundreds of millions of dollars in financial crime compliance as part of a $1.9 billion settlement in 2012 with U.S. authorities over the bank's failure to prevent money laundering by drug cartels though its Mexican unit.,"HSBC byla nucena investovat stovky milionů dolarů do souladu s finanční kriminalitou v rámci urovnání 1,9 miliardy USD v roce 2012 s americkými úřady kvůli tomu, že banka nezabránila praní peněz drogovými kartely prostřednictvím mexické jednotky.","HSBC byla nucena investovat stovky milionů dolarů v souladu s finanční kriminalitou v rámci vyrovnání 1,9 miliard USD v roce 2012 s americkými úřady z důvodu, že banka nezabránila praní peněz drogovými kartely prostřednictvím své mexické pobočky.","['HSBC', 'byla', 'nucena', 'investovat', 'stovky', 'milionů', 'dolarů', 'do', 'souladu', 's', 'finanční', 'kriminalitou', 'v', 'rámci', 'urovnání', '1,9', 'miliardy', 'USD', 'v', 'roce', '2012', 's', 'americkými', 'úřady', 'kvůli', 'tomu,', 'že', 'banka', 'nezabránila', 'praní', 'peněz', 'drogovými', 'kartely', 'prostřednictvím', 'mexické', 'jednotky.']","[(0, 4), (4, 9), (9, 16), (16, 27), (27, 34), (34, 42), (42, 49), (49, 52), (52, 60), (60, 62), (62, 71), (71, 84), (84, 86), (86, 92), (92, 101), (101, 105), (105, 114), (114, 118), (118, 120), (120, 125), (125, 130), (130, 132), (132, 143), (143, 149), (149, 155), (155, 161), (161, 164), (164, 170), (170, 182), (182, 188), (188, 194), (194, 204), (204, 212), (212, 228), (228, 236), (236, 246)]","['HSBC', 'byla', 'nucena', 'investovat', 'stovky', 'milionů', 'dolarů', 'v', 'souladu', 's', 'finanční', 'kriminalitou', 'v', 'rámci', 'vyrovnání', '1,9', 'miliard', 'USD', 'v', 'roce', '2012', 's', 'americkými', 'úřady', 'z', 'důvodu,', 'že', 'banka', 'nezabránila', 'praní', 'peněz', 'drogovými', 'kartely', 'prostřednictvím', 'své', 'mexické', 'pobočky.']","[(0, 4), (4, 9), (9, 16), (16, 27), (27, 34), (34, 42), (42, 49), (49, 51), (51, 59), (59, 61), (61, 70), (70, 83), (83, 85), (85, 91), (91, 101), (101, 105), (105, 113), (113, 117), (117, 119), (119, 124), (124, 129), (129, 131), (131, 142), (142, 148), (148, 150), (150, 158), (158, 161), (161, 167), (167, 179), (179, 185), (185, 191), (191, 201), (201, 209), (209, 225), (225, 229), (229, 237), (237, 246)]"
3,3,6,"The system works by mapping individual customers"" and companies ties to each other and then looking for unusual patterns of transactions or unearthing previously unknown connections between those entities.","Systém funguje tak, že mapuje jednotlivé zákazníky “a společnosti na sebe navazuje a poté hledá neobvyklé vzorce transakcí nebo odhalení dříve neznámých spojení mezi těmito entitami.","Systém funguje tak, že mapuje jednotlivé zákazníky“ a společnosti, které jsou na sebe napojené, a poté hledá neobvyklé transakční vzorce nebo odhalení původně neznámých napojení mezi těmito entitami.","['Systém', 'funguje', 'tak,', 'že', 'mapuje', 'jednotlivé', 'zákazníky', '“a', 'společnosti', 'na', 'sebe', 'navazuje', 'a', 'poté', 'hledá', 'neobvyklé', 'vzorce', 'transakcí', 'nebo', 'odhalení', 'dříve', 'neznámých', 'spojení', 'mezi', 'těmito', 'entitami.']","[(0, 6), (6, 14), (14, 19), (19, 22), (22, 29), (29, 40), (40, 50), (50, 53), (53, 65), (65, 68), (68, 73), (73, 82), (82, 84), (84, 89), (89, 95), (95, 105), (105, 112), (112, 122), (122, 127), (127, 136), (136, 142), (142, 152), (152, 160), (160, 165), (165, 172), (172, 182)]","['Systém', 'funguje', 'tak,', 'že', 'mapuje', 'jednotlivé', 'zákazníky“', 'a', 'společnosti,', 'které', 'jsou', 'na', 'sebe', 'napojené,', 'a', 'poté', 'hledá', 'neobvyklé', 'transakční', 'vzorce', 'nebo', 'odhalení', 'původně', 'neznámých', 'napojení', 'mezi', 'těmito', 'entitami.']","[(0, 6), (6, 14), (14, 19), (19, 22), (22, 29), (29, 40), (40, 51), (51, 53), (53, 66), (66, 72), (72, 77), (77, 80), (80, 85), (85, 95), (95, 97), (97, 102), (102, 108), (108, 118), (118, 129), (129, 136), (136, 141), (141, 150), (150, 158), (158, 168), (168, 177), (177, 182), (182, 189), (189, 199)]"
3,3,7,"That system has already freed up more than 400 staff to go from manually checking transactions and records to client-facing roles where they can spend time helping customers, said Adrian Rigby, chief operating officer of HSBC's trade business.","Tento systém již uvolnil více než 400 zaměstnanců, kteří by mohli přecházet z ručních kontrol transakcí a záznamů do rolí zaměřených na klienta, kde mohou trávit čas pomáháním zákazníkům, uvedl Adrian Rigby, hlavní provozní ředitel obchodu HSBC.","Tento systém umožnil již více než 400 zaměstnanců přechod od manuální kontroly transakcí a záznamů k funkcím zaměřeným na klienty, kde mohou více pomáhat zákazníkům, uvedl Adrian Rigby, hlavní výkonný obchodní ředitel HSBC.","['Tento', 'systém', 'již', 'uvolnil', 'více', 'než', '400', 'zaměstnanců,', 'kteří', 'by', 'mohli', 'přecházet', 'z', 'ručních', 'kontrol', 'transakcí', 'a', 'záznamů', 'do', 'rolí', 'zaměřených', 'na', 'klienta,', 'kde', 'mohou', 'trávit', 'čas', 'pomáháním', 'zákazníkům,', 'uvedl', 'Adrian', 'Rigby,', 'hlavní', 'provozní', 'ředitel', 'obchodu', 'HSBC.']","[(0, 5), (5, 12), (12, 16), (16, 24), (24, 29), (29, 33), (33, 37), (37, 50), (50, 56), (56, 59), (59, 65), (65, 75), (75, 77), (77, 85), (85, 93), (93, 103), (103, 105), (105, 113), (113, 116), (116, 121), (121, 132), (132, 135), (135, 144), (144, 148), (148, 154), (154, 161), (161, 165), (165, 175), (175, 187), (187, 193), (193, 200), (200, 207), (207, 214), (214, 223), (223, 231), (231, 239), (239, 245)]","['Tento', 'systém', 'umožnil', 'již', 'více', 'než', '400', 'zaměstnanců', 'přechod', 'od', 'manuální', 'kontroly', 'transakcí', 'a', 'záznamů', 'k', 'funkcím', 'zaměřeným', 'na', 'klienty,', 'kde', 'mohou', 'více', 'pomáhat', 'zákazníkům,', 'uvedl', 'Adrian', 'Rigby,', 'hlavní', 'výkonný', 'obchodní', 'ředitel', 'HSBC.']","[(0, 5), (5, 12), (12, 20), (20, 24), (24, 29), (29, 33), (33, 37), (37, 49), (49, 57), (57, 60), (60, 69), (69, 78), (78, 88), (88, 90), (90, 98), (98, 100), (100, 108), (108, 118), (118, 121), (121, 130), (130, 134), (134, 140), (140, 145), (145, 153), (153, 165), (165, 171), (171, 178), (178, 185), (185, 192), (192, 200), (200, 209), (209, 217), (217, 223)]"
3,3,8,"HSBC's Nivison said the lightbulb moment was realizing the tool could be repurposed to look for ""green flags"" of attractive potential clients rather than ""red flags"" of wrongdoing.","Společnost Nivison společnosti HSBC uvedla, že okamžik žárovky si uvědomuje, že tento nástroj by mohl být přemístěn tak, aby hledal „zelené vlajky“ atraktivních potenciálních klientů, spíše než „červené vlajky“ protiprávního jednání.","Pan Nivison z HSBC řekl, že si banka náhle uvědomila, že tento nástroj by mohl být upraven tak, aby hledal atraktivní potenciální klienty se „zeleným semaforem“ místo těch nezákonných „s výstražnou kontrolkou“..","['Společnost', 'Nivison', 'společnosti', 'HSBC', 'uvedla,', 'že', 'okamžik', 'žárovky', 'si', 'uvědomuje,', 'že', 'tento', 'nástroj', 'by', 'mohl', 'být', 'přemístěn', 'tak,', 'aby', 'hledal', '„zelené', 'vlajky“', 'atraktivních', 'potenciálních', 'klientů,', 'spíše', 'než', '„červené', 'vlajky“', 'protiprávního', 'jednání.']","[(0, 10), (10, 18), (18, 30), (30, 35), (35, 43), (43, 46), (46, 54), (54, 62), (62, 65), (65, 76), (76, 79), (79, 85), (85, 93), (93, 96), (96, 101), (101, 105), (105, 115), (115, 120), (120, 124), (124, 131), (131, 139), (139, 147), (147, 160), (160, 174), (174, 183), (183, 189), (189, 193), (193, 202), (202, 210), (210, 224), (224, 233)]","['Pan', 'Nivison', 'z', 'HSBC', 'řekl,', 'že', 'si', 'banka', 'náhle', 'uvědomila,', 'že', 'tento', 'nástroj', 'by', 'mohl', 'být', 'upraven', 'tak,', 'aby', 'hledal', 'atraktivní', 'potenciální', 'klienty', 'se', '„zeleným', 'semaforem“', 'místo', 'těch', 'nezákonných', '„s', 'výstražnou', 'kontrolkou“..']","[(0, 3), (3, 11), (11, 13), (13, 18), (18, 24), (24, 27), (27, 30), (30, 36), (36, 42), (42, 53), (53, 56), (56, 62), (62, 70), (70, 73), (73, 78), (78, 82), (82, 90), (90, 95), (95, 99), (99, 106), (106, 117), (117, 129), (129, 137), (137, 140), (140, 149), (149, 160), (160, 166), (166, 171), (171, 183), (183, 186), (186, 197), (197, 211)]"
5,5,1,Stem cells of 56 child cancer patients lost at Children's Hospital after freezer malfunction,Kmenové buňky 56 pacientů s rakovinou u dětí ztracených v dětské nemocnici po poruše mrazáku,Kmenové buňky 56 dětských pacientů s rakovinou se ztratily v dětské nemocnici při poruše mrazáku,"['Kmenové', 'buňky', '56', 'pacientů', 's', 'rakovinou', 'u', 'dětí', 'ztracených', 'v', 'dětské', 'nemocnici', 'po', 'poruše', 'mrazáku']","[(0, 7), (7, 13), (13, 16), (16, 25), (25, 27), (27, 37), (37, 39), (39, 44), (44, 55), (55, 57), (57, 64), (64, 74), (74, 77), (77, 84), (84, 92)]","['Kmenové', 'buňky', '56', 'dětských', 'pacientů', 's', 'rakovinou', 'se', 'ztratily', 'v', 'dětské', 'nemocnici', 'při', 'poruše', 'mrazáku']","[(0, 7), (7, 13), (13, 16), (16, 25), (25, 34), (34, 36), (36, 46), (46, 49), (49, 58), (58, 60), (60, 67), (67, 77), (77, 81), (81, 88), (88, 96)]"
5,5,2,A freezer malfunction at Children's Hospital Los Angeles resulted in the loss of 56 children's blood stem cells that were harvested at the beginning of each patient's oncology therapy and stored in the event they could prove useful in the future.,"Porucha mrazáku v dětské nemocnici v Los Angeles vedla ke ztrátě 56 dětských krevních kmenových buněk, které byly odebrány na začátku onkologické terapie každého pacienta a uloženy pro případ, že by se mohly v budoucnu ukázat jako užitečné.","Porucha mrazáku v dětské nemocnici v Los Angeles vedla ke ztrátě 56 krevních kmenových buněk nemocných dětí, které byly odebrány na začátku onkologické terapie každého pacienta a uloženy pro případ, že by mohly být v budoucnu užitečné.","['Porucha', 'mrazáku', 'v', 'dětské', 'nemocnici', 'v', 'Los', 'Angeles', 'vedla', 'ke', 'ztrátě', '56', 'dětských', 'krevních', 'kmenových', 'buněk,', 'které', 'byly', 'odebrány', 'na', 'začátku', 'onkologické', 'terapie', 'každého', 'pacienta', 'a', 'uloženy', 'pro', 'případ,', 'že', 'by', 'se', 'mohly', 'v', 'budoucnu', 'ukázat', 'jako', 'užitečné.']","[(0, 7), (7, 15), (15, 17), (17, 24), (24, 34), (34, 36), (36, 40), (40, 48), (48, 54), (54, 57), (57, 64), (64, 67), (67, 76), (76, 85), (85, 95), (95, 102), (102, 108), (108, 113), (113, 122), (122, 125), (125, 133), (133, 145), (145, 153), (153, 161), (161, 170), (170, 172), (172, 180), (180, 184), (184, 192), (192, 195), (195, 198), (198, 201), (201, 207), (207, 209), (209, 218), (218, 225), (225, 230), (230, 240)]","['Porucha', 'mrazáku', 'v', 'dětské', 'nemocnici', 'v', 'Los', 'Angeles', 'vedla', 'ke', 'ztrátě', '56', 'krevních', 'kmenových', 'buněk', 'nemocných', 'dětí,', 'které', 'byly', 'odebrány', 'na', 'začátku', 'onkologické', 'terapie', 'každého', 'pacienta', 'a', 'uloženy', 'pro', 'případ,', 'že', 'by', 'mohly', 'být', 'v', 'budoucnu', 'užitečné.']","[(0, 7), (7, 15), (15, 17), (17, 24), (24, 34), (34, 36), (36, 40), (40, 48), (48, 54), (54, 57), (57, 64), (64, 67), (67, 76), (76, 86), (86, 92), (92, 102), (102, 108), (108, 114), (114, 119), (119, 128), (128, 131), (131, 139), (139, 151), (151, 159), (159, 167), (167, 176), (176, 178), (178, 186), (186, 190), (190, 198), (198, 201), (201, 204), (204, 210), (210, 214), (214, 216), (216, 225), (225, 235)]"
