id_hal,Translation_id,line_id,source,translation,postedition
3,3,1,"Using data and artificial intelligence to try and boost revenues is part of HSBC's broader push to squeeze more out of its large physical network and client data, a key priority for interim Chief Executive Noel Quinn.","Využití dat a umělé inteligence k vyzkoušení a zvýšení výnosů je součástí širšího tlaku HSBC na vytlačení více z jeho rozsáhlé fyzické sítě a klientských dat, což je klíčová priorita dočasného generálního ředitele Noela Quinna.","Využití dat a umělé inteligence ke zvýšení výnosů je součástí širšího tlaku na HSBC, aby vytěžila více ze své rozsáhlé fyzické sítě klientů a klientských dat, což je klíčovou prioritou dočasného generálního ředitele banky Noela Quinna."
3,3,2,"""It's one of the first commercial uses of investment in financial crime prevention, and the business we're getting in this way is inherently lower risk and quicker to win,"" said Stuart Nivison, HSBC's global head of client network banking.","„Je to jedno z prvních komerčních investic do prevence finanční kriminality a podnikání, které tímto způsobem získáváme, je ze své podstaty nižší riziko a rychlejší vítězství,“ řekl Stuart Nivison, globální vedoucí klientského bankovnictví společnosti HSBC.","„Je to jedna z prvních komerčních investic do prevence finanční kriminality a podnikání, které tímto způsobem získáváme, představuje ve své podstatě nižší riziko a rychlejší šanci na vítězství,“ řekl Stuart Nivison, vedoucí klientské sítě bankovnictví HSBC."
3,3,3,"HSBC declined to comment on how much it expects to make from the new system but said the broader ""network income"" initiative has already yielded hundreds of millions of dollars in additional revenue.","HSBC se odmítla vyjádřit k tomu, co očekává od nového systému, ale uvedla, že širší iniciativa „síťový příjem“ již přinesla další příjmy stovky milionů dolarů.","HSBC se odmítla vyjádřit k tomu, co očekává od nového systému, ale řekla, že širší využití „síťového příjmu“ již přineslo další příjmy ve výši stovek milionů dolarů."
3,3,4,The drive is an important part of the bank's efforts to defend its global presence at a time when some analysts and investors are saying it should shrink or exit markets like the United States where it makes returns below its cost of capital.,"Pohon je důležitou součástí úsilí banky bránit svou globální přítomnost v době, kdy někteří analytici a investoři říkají, že by měla zmenšovat nebo opouštět trhy, jako jsou Spojené státy, kde dosahuje návratnosti pod náklady na kapitál.","Kampaň je důležitou součástí úsilí banky obhájit své globální postavení v době, ve které někteří analytici a investoři říkají, že by měla zmenšovat nebo opouštět trhy, jako jsou Spojené státy, na kterých dosahuje nižší návratnosti, než jsou náklady na kapitál."
3,3,5,HSBC was forced to invest hundreds of millions of dollars in financial crime compliance as part of a $1.9 billion settlement in 2012 with U.S. authorities over the bank's failure to prevent money laundering by drug cartels though its Mexican unit.,"HSBC byla nucena investovat stovky milionů dolarů do souladu s finanční kriminalitou v rámci urovnání 1,9 miliardy USD v roce 2012 s americkými úřady kvůli tomu, že banka nezabránila praní peněz drogovými kartely prostřednictvím mexické jednotky.","HSBC byla nucena investovat stovky milionů dolarů v souladu s finanční kriminalitou v rámci vyrovnání 1,9 miliard USD v roce 2012 s americkými úřady z důvodu, že banka nezabránila praní peněz drogovými kartely prostřednictvím své mexické pobočky."
3,3,6,"The system works by mapping individual customers"" and companies ties to each other and then looking for unusual patterns of transactions or unearthing previously unknown connections between those entities.","Systém funguje tak, že mapuje jednotlivé zákazníky “a společnosti na sebe navazuje a poté hledá neobvyklé vzorce transakcí nebo odhalení dříve neznámých spojení mezi těmito entitami.","Systém funguje tak, že mapuje jednotlivé zákazníky“ a společnosti, které jsou na sebe napojené, a poté hledá neobvyklé transakční vzorce nebo odhalení původně neznámých napojení mezi těmito entitami."
3,3,7,"That system has already freed up more than 400 staff to go from manually checking transactions and records to client-facing roles where they can spend time helping customers, said Adrian Rigby, chief operating officer of HSBC's trade business.","Tento systém již uvolnil více než 400 zaměstnanců, kteří by mohli přecházet z ručních kontrol transakcí a záznamů do rolí zaměřených na klienta, kde mohou trávit čas pomáháním zákazníkům, uvedl Adrian Rigby, hlavní provozní ředitel obchodu HSBC.","Tento systém umožnil již více než 400 zaměstnanců přechod od manuální kontroly transakcí a záznamů k funkcím zaměřeným na klienty, kde mohou více pomáhat zákazníkům, uvedl Adrian Rigby, hlavní výkonný obchodní ředitel HSBC."
3,3,8,"HSBC's Nivison said the lightbulb moment was realizing the tool could be repurposed to look for ""green flags"" of attractive potential clients rather than ""red flags"" of wrongdoing.","Společnost Nivison společnosti HSBC uvedla, že okamžik žárovky si uvědomuje, že tento nástroj by mohl být přemístěn tak, aby hledal „zelené vlajky“ atraktivních potenciálních klientů, spíše než „červené vlajky“ protiprávního jednání.","Pan Nivison z HSBC řekl, že si banka náhle uvědomila, že tento nástroj by mohl být upraven tak, aby hledal atraktivní potenciální klienty se „zeleným semaforem“ místo těch nezákonných „s výstražnou kontrolkou“.."
5,5,1,Stem cells of 56 child cancer patients lost at Children's Hospital after freezer malfunction,Kmenové buňky 56 pacientů s rakovinou u dětí ztracených v dětské nemocnici po poruše mrazáku,Kmenové buňky 56 dětských pacientů s rakovinou se ztratily v dětské nemocnici při poruše mrazáku
5,5,2,A freezer malfunction at Children's Hospital Los Angeles resulted in the loss of 56 children's blood stem cells that were harvested at the beginning of each patient's oncology therapy and stored in the event they could prove useful in the future.,"Porucha mrazáku v dětské nemocnici v Los Angeles vedla ke ztrátě 56 dětských krevních kmenových buněk, které byly odebrány na začátku onkologické terapie každého pacienta a uloženy pro případ, že by se mohly v budoucnu ukázat jako užitečné.","Porucha mrazáku v dětské nemocnici v Los Angeles vedla ke ztrátě 56 krevních kmenových buněk nemocných dětí, které byly odebrány na začátku onkologické terapie každého pacienta a uloženy pro případ, že by mohly být v budoucnu užitečné."
