id_hal,Translation_id,line_id,source,translation,postedition
1,1,1,The government has compulsorily retired 15 more tax officers in the fourth tranche of its crackdown on errant officials accused of corruption and other malpractices.,Vláda povinně odešla do důchodu dalších 15 daňových úředníků ve čtvrté tranši svého zákroku proti errancujícím úředníkům obviněným z korupce a jiných nezákonných praktik.,Vláda přikázala odchod do důchodu dalším 15 daňovým úředníkům v rámci čtvrtého balíčku opatření proti úředníkům obviněným z korupce a dalších nezákonných praktik.
1,1,2,"The Central Board of Indirect Taxes and Customs (CBIC) -- the agency that oversees GST and import tax collections -- compulsorily retired 15 senior officers under Fundamental Rule 56 (J) on corruption and other charges, official sources said.","Ústřední rada nepřímých daní a cel (CBIC) - agentura, která dohlíží na GST a výběr daní z dovozu - povinně odešla do důchodu 15 vyšších důstojníků podle Základního pravidla 56 (J) o korupci a jiných poplatcích, uvedly oficiální zdroje.","Ústřední rada nepřímých daní a cel (CBIC) – agentura, která dohlíží na GST a výběr daní z dovozu – přikázala odchod do důchodu 15 vysokým úředníkům podle paragrafu 56 (j) o korupci a dalších poplatcích, jak uvedly oficiální zdroje."
1,1,3,"Since June, this is the fourth round of sacking of corrupt tax officials. In the previous three rounds, 49 high ranking tax officers, including 12 from the Central Board of Direct Taxes (CBDT), were compulsorily retired.","Od června je to čtvrté kolo vyhození zkorumpovaných daňových úředníků. V předchozích třech kolech bylo povinně vyslouženo 49 vysoce postavených daňových úředníků, včetně 12 z Ústřední rady pro přímé daně (CBDT).","Od června je to už počtvrté, co jsou zkorumpovaní daňoví úředníci vyhozeni z práce. V předchozích třech vlnách bylo donuceno odejít do důchodu 49 vysoce postavených daňových úředníků, včetně 12 úředníků z Ústřední rady pro přímé daně (CBDT)."
1,1,4,"Sources said the action was in line with Prime Minister Narendra Modi's address to the nation from the ramparts of the Red Fort when he had said some black sheep in the tax administration may have misused their powers and harassed taxpayers, either by targeting honest assesses or taking excessive action for minor or procedural violations.","Zdroj uvedl, že akce byla v souladu s adresou premiéra Narendry Modiho k národu z hradeb Rudé pevnosti, když řekl, že některé černé ovce v daňové správě mohly zneužít své pravomoci a obtěžovat daňové poplatníky, buď zaměřením na poctivé odměny, nebo přijetím nadměrná žaloba pro menší nebo procesní porušení.","Podle oficiálních zdrojů proběhla akce v návaznosti na projev ministerské předsedkyně Narendry Modiové k národu z hradeb Rudé pevnosti, kdy řekla, že někteří nepoctiví úředníci v systému daňové správy mohli zneužít své pravomoce a obtěžovat daňové poplatníky, buď tím, že perzekuovali poctivé plátce, nebo prováděli neadekvátní opatření za menší či procesní přestupky."
1,1,5,"""We have recently taken the bold step of compulsorily retiring a significant number of tax officials, and we will not tolerate this type of behaviour,"" he had said.","""Nedávno jsme podnikli odvážný krok povinného odchodu do důchodu značného počtu daňových úředníků a tento druh chování nebudeme tolerovat,"" uvedl.","„Nedávno jsme podnikli odvážný krok, když jsme donutili odejít do důchodu značný počet daňových úředníků, a takové chování nebudeme nadále tolerovat,“ uvedla."
1,1,6,"Nearly half of the officials retired were those who were arrested by the CBI for allegedly receiving illegal gratification. One of them was caught accepting a bribe of Rs 15,000. One official is accused of having assets disproportionate to his known source of income.","Téměř polovina úředníků v důchodu byli ti, kteří byli CBI zatčeni za údajné přijetí nezákonného uspokojení. Jeden z nich byl chycen přijetím úplatku ve výši 15 000 Rs. Jeden úředník je obviněn z majetku nepřiměřeného jeho známému zdroji příjmů.","Téměř polovina úředníků, kteří odešli do důchodu, byli ti, které CBI zatkla za údajné přijímání úplatků. Jeden z nich byl chycen při braní úplatku ve výši 15 000 RS. Další úředník je obviněn z nahromadění majetku nepřiměřeného jeho oficiálnímu zdroji příjmů."
1,1,7,"In June, the government had compulsorily retired 15 commissioner-level officials of CBIC on charges of corruption, collecting and giving bribes, smuggling and even criminal conspiracy. Prior to that, the government had compulsorily retired 12 senior IRS officials from the Income Tax department over charges of corruption, sexual harassment, disproportionate assets under Rule 56 (J) of the Central Civil Services (Pension) Rules.","V červnu vláda povinně odešla do důchodu 15 úředníků na úrovni komisařů na úrovni CBIC za obvinění z korupce, shromažďování a poskytování úplatků, pašování a dokonce trestního spiknutí. Předtím vláda povinně odešla do důchodu 12 vyšších úředníků IRS z oddělení daně z příjmu kvůli obvinění z korupce, sexuálního obtěžování a nepřiměřených aktiv podle pravidla 56 (J) pravidel ústředních státních služeb (důchodů).","V červnu vláda donutila odejít do důchodu 15 úředníků na postech komisařů CBIC kvůli obvinění z korupce, shromažďování a poskytování úplatků, pašování a dokonce i trestného činu spiknutí. Ještě předtím vláda poslala do důchodu 12 vysokých úředníků IRS z oddělení daní z příjmu rovněž kvůli obviněním z korupce, sexuálního obtěžování a nepřiměřeného hromadění majetku podle paragrafu 56 (j) Směrnice o ústředních státních službách (důchodech)."
1,1,8,"In August, the government compulsorily retired 22 CBIC officials. The Rule 56 (J) of Central Civil Services (Pension) Rules, 1972 provides for periodical review of the performance of government servants with a view to ascertain whether they should be retained in service or retired in public interest.","V srpnu vláda povinně odešla do důchodu 22 úředníků CBIC. Pravidlo 56 (J) Pravidel ústředních státních služeb (penzijních) z roku 1972 stanoví pravidelný přezkum výkonu státních zaměstnanců s cílem zjistit, zda by měli být zachováni ve službě nebo odešli ve veřejném zájmu.","V srpnu vláda poslala do důchodu 22 úředníků CBIC. Paragraf 56 (j) Směrnice o ústředních státních službách (důchodech) z roku 1972 stanovuje pravidelná přezkoumání výkonu státních zaměstnanců s cílem zjistit, zda mohou být ponecháni ve službě nebo propuštěni ve veřejném zájmu."
2,2,1,A woman in Maine got 500 letters from United Healthcare within five days,Žena v Maine dostala 500 dopisů od United Healthcare během pěti dnů,Žena v Maine obdržela během pěti dnů 500 dopisů od společnosti United Healthcare
2,2,2,Stephanie Lay said she found the piles of letters from the insurance company stashed in her mailbox between Thursday and Monday.,"Stephanie Lay uvedla, že ve čtvrtek a pondělí našla hromadu dopisů od pojišťovací společnosti ve své poštovní schránce.","Stephanie Layová uvedla, že během čtvrtka a pondělí našla ve své poštovní schránce hromadu dopisů od pojišťovací společnosti United Healthcare."
